"","Road","Number_of_Fees(sheet/day)","Total_Parking_Hours(hours/day)","Number_of_Parking_Space","Hours_per_sheet","Time_Start","Time_End","Interval","Space_efficiency"
"595","士東路200巷",20.3786635404455,26.0867526377491,20.4361078546307,1.28010124834609,"09:00","17:00",8,"16.0%"
"596","士東路A",118.577519379845,149.406976744186,103.972868217054,1.25999411630111,"09:00","17:00",8,"18.0%"
"597","士林市場西側機車",24.6928838951311,24.6928838951311,65.0936329588015,1,"12:00","20:00",8,"4.7%"
"598","士商路A",79.1123882503193,112.611749680715,72.0306513409962,1.42344014851885,"07:00","20:00",13,"12.0%"
"599","士商路B",61.5193370165746,121.594843462247,94.6740331491713,1.97653045951205,"09:00","17:00",8,"16.1%"
"600","士商路C大車",22.3258845437616,27.877094972067,22.9050279329609,1.24864459087497,"08:00","22:00",14,"8.7%"
"601","市民大道3段南側-機車",358.117757009346,289.715887850467,243.543925233645,0.80899615330414,"12:00","20:00",8,"14.9%"
"602","市民大道七段A",20.4574468085106,54.7404255319149,27.2297872340426,2.67581903276131,"07:00","20:00",13,"15.5%"
"603","市民大道五段",11.8247322297955,23.4420642648491,5.71080817916261,1.9824604743083,"07:00","20:00",13,"31.6%"
"604","市民大道一段",84.1951951951952,84.1951951951952,419.465465465465,1,"09:00","17:00",8,"2.5%"
"605","市民大道一段北側",229.894252873563,229.894252873563,248,1,"09:00","17:00",8,"11.6%"
"606","雙城街",23.2911908646003,40.7381729200653,11.8858075040783,1.74908072141481,"07:00","20:00",13,"26.4%"
"607","雙和街",33.14,76.16,46.08,2.29812914906457,"09:00","17:00",8,"20.7%"
"608","雙全街",21.8518518518519,21.7160493827161,52.9259259259259,0.993785310734463,"09:00","17:00",8,"5.1%"
"609","雙溪公園平面",5.71604938271605,5.71604938271605,8.47407407407407,1,"09:00","17:00",8,"8.4%"
"610","雙溪街",100.209302325581,100.186046511628,410.790697674419,0.999767927593409,"09:00","17:00",8,"3.0%"
"611","雙園街89巷",11.4183908045977,18.1310344827586,18.4827586206897,1.58788000805315,"09:00","17:00",8,"12.3%"
"612","水快橋下",79.7390804597701,30.1057471264368,277.27816091954,0.37755322675969,"09:00","16:00",7,"1.6%"
"613","水源路A",72.5229885057471,145.452873563218,168.089655172414,2.00561058720976,"09:00","17:00",8,"10.8%"
"614","水源路B",5.55296856810244,11.6228172293364,5.46915017462165,2.09308176100629,"09:00","17:00",8,"26.6%"
"615","思源街",40.9793103448276,77.2068965517241,33.9862068965517,1.88404577583305,"07:00","19:00",12,"18.9%"
